,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,20000,AFFIDEA,,Petroșani,Hunedoara,332019,,,,,,,45.4082011,23.3754743
1,20001,Ambulanta,,Călărași,,910014,,,,,,,44.2035861,27.3179285
2,20002,Ambulanta Alesd,,Aleșd,Bihor,415100,,,,,,,47.05324,22.4020288
3,20003,Ambulanță Reghin,,Reghin,,545300,,,,,,,46.7840445,24.6967293
4,20004,Ambulatorul de Specialitate Sfântul Spiridon,,Iași,,700455,,,,,,,47.1699634,27.5808641
5,20005,Amethyst,,Otopeni,Ilfov,075101,,,,,,,44.5358518,26.0604644
6,20006,Arcadia Hospital,Strada Cicoarei 2,Iași,,700620,,+40 232 202002,,,,,47.1578663,27.5612963
7,20007,"Bloc materno-infantil, Cardiologie, Radiologie, Laborator analize, Farmacie",Bulevardul Corneliu Coposu 2 - 4,Sibiu,Sibiu,550253,,,,,,,45.7942521,24.1549566
8,20008,CERMED,Strada Avram Iancu 69,Constanța,,900184,,,,,,,44.1797112,28.6375993
9,20009,Cabinet Medico-Sanitar de Frontiera Port Constanța,,Constanța,,,,,,,,,44.1717148,28.6567463
10,20010,Cabinet medical,,Sâncraiu,Cluj,407515,,,,,,,46.8299443,22.9855479
11,20011,Cabinet medical,,Miroslava,,707308,,,,,,,47.097048,27.5271536
12,20012,Cabinet medical,,Sâg,Sălaj,457300,,,,,,,47.0768578,22.781531
13,20013,Cabinete medicale de familie,Strada Roșiori 33,Galați,,800055,,,,,No,,45.4292631,28.0495669
14,20014,Cabinete medicale de specialitate,Bulevardul Primăverii 4,Iași,,700171,,,,,,,47.1504762,27.5967041
15,20015,Cabinete medicale.,,Ștei,Bihor,415600,,,,,,,46.5409352,22.4556971
16,20016,Camera de Gardă - Spitalul Clinic de Psihiatrie “Prof. Dr. Alexandru Obregia”,,București,,,,,,,Yes,,44.3864853,26.1278255
17,20017,Camera de Gardă - Spitalul de Urgență Floreasca,,București,,,,,,,Yes,,44.4538889,26.1008975
18,20018,Centru De Excelență Clinică Fundația Baylor,Strada Liliacului 10,Constanța,,900008,,+40 241 691 730,,,No,,44.1497426,28.6235805
19,20019,Centru Medical,,Târgu Mureș,,540052,,,,,,,46.5510804,24.5745144
20,20020,Centru de dializă Diaverum,Strada Distribuției 32,Sibiu,Sibiu,550009,,,,,,,45.7960181,24.1333259
21,20021,Centru de recuperare și reabilitare neuropsihiatrică,,București,,023571,,,,,,,44.4679599,26.1526137
22,20022,Centrul Dializă IHS,,Brăila,Brăila,810015,,,,,,,45.2698958,27.979447
23,20023,Centrul Medial de Permanență Plătărești,,Plătărești,,917203,,,,,,,44.3426833,26.3769358
24,20024,Centrul Medical Academica,nan 20,București,,010452,,,,,,,44.443379,26.1009529
25,20025,Centrul Medical Copou,,Iași,,700512,,,,,No,,47.1735798,27.570478
26,20026,Centrul Medical Galenus,,Târgu Mureș,,540052,,,,,,,46.5515387,24.5734768
27,20027,"Centrul Medical de Diagnostic și Tratament ""Dr. Victor Babeș""",,București,,030171,,,,,,,44.4280686,26.1392145
28,20028,"Centrul Medico-Social ""Sfântul Andrei""",Șoseaua Berceni nan,București,,,,,,,,,44.3827382,26.1306613
29,20029,Centrul Regional de Transfuzie Sanguină Tg-Mureș,Strada Molter Károly 2,Târgu Mureș,,540052,,,,,,,46.560516,24.5830475
30,20030,Centrul de Diagnosticare și Tratament Providența,nan 115,Iași,,700220,,,,,,,47.1253657,27.5694266
31,20031,Centrul de Permanenta Vascau,Unirii 75,Vașcău,Bihor,415800,,,,,,,46.4702714,22.475333
32,20032,Centrul de Recuperare pentru Copii dr. Nicolae Robănescu,Strada Soldat Mincă Dumitru 40,București,,040814,,,,,,,44.3896675,26.1078393
33,20033,Centrul de Sănătate Ciacova,,Ciacova,,307110,,,,,,,45.5151925,21.1239431
34,20034,Centrul de Sănătate Mintală Copii,,Deva,Hunedoara,330088,,,,,,,45.8706127,22.9063057
35,20035,Centrul de Transfuzie Sanguină,,Târgoviște,,130007,,+40245210913,,,,,44.9190963,25.456973
36,20036,Centrul de Transfuzie Sanguină,Strada Radu S.Campiniu 25,Brăila,Brăila,810003,,,,,,,45.2697522,27.969389
37,20037,Centrul de Transfuzii Bârlad,,Bârlad,Vaslui,731085,,,,,,,46.2321026,27.6664953
38,20038,Centrul de dializa Bârlad,,Bârlad,Vaslui,731199,,,,,,,46.215868,27.6583914
39,20039,Centrul de dializa Fresenius NephrocareCampulung-Muscel,Strada Erou Costel Constantinescu 16,Câmpulung,,115100,,+40 348 730 162,,,,,45.2732848,25.0526355
40,20040,Centrul de dializă,,Brăila,Brăila,,,,,,,,45.2524122,27.9401579
41,20041,"Centrul de plasament ""Gulliver""",,Iași,,700615,,,,,,,47.1487844,27.5616238
42,20042,Centrul de Îngrijiri Paliative „Sfântul Nectarie”,Strada Fabricii de Zahăr 49-51,Cluj-Napoca,Cluj,400636,,+40364733610,,,,,46.7844588,23.6204928
43,20043,Centrul pentru Persoane cu Handicap Suferinde de Maladia Alzheimer,,Ciacova,,307110,,,,,,,45.5115012,21.1220389
44,20044,Clinica Amamed Bărbătești,,Bărbătești,Vâlcea,247025,,,,,,,45.1723226,24.1172807
45,20045,Clinica Chirurgie I,Strada Clinicilor nan,Cluj-Napoca,Cluj,400006,,,,,,,46.765972,23.5833921
46,20046,Clinica Dermato-Venerologie,Strada Clinicilor nan,Cluj-Napoca,Cluj,400006,,,,,,,46.7651568,23.5830082
47,20047,Clinica Dermatologică,,Iași,,700342,,,,,,,47.1577255,27.6160036
48,20048,Clinica MedLife Turnului,Strada Turnului nan,Brașov,,500030,,,,,,,45.6651711,25.6126401
49,20049,Clinica Medicală I,Strada Clinicilor nan,Cluj-Napoca,Cluj,400006,,,,,Yes,,46.7656738,23.582303
50,20050,Clinica O.R.L.,Strada Gheorghe Marinescu 34,Târgu Mureș,,540052,,,,,,,46.5539216,24.5782568
51,20051,Clinica Obstetrică - Ginecologie I,Strada Clinicilor nan,Cluj-Napoca,Cluj,400006,,,,,,,46.7654169,23.5814342
52,20052,Clinica Universitară de Obstetrică Ginecologie Bega,,Timișoara,,300002,,,,,,,45.7442869,21.2285704
53,20053,Clinica de Boli Infecțioase 1,Strada Gheorghe Doja 89,Târgu Mureș,,540052,,+40-265-250533,,,,,46.5306407,24.5492883
54,20054,Clinica de Boli Infecțioase 2,Strada Gheorghe Doja 127,Târgu Mureș,,540052,,+40-365-882605,,,,,46.5287599,24.5463123
55,20055,Clinica de Chirurgie,,Târgu Mureș,,540052,,,,,,,46.5532098,24.5751653
56,20056,Clinica de Chirurgie oro-maxilo-facială,,Târgu Mureș,,540052,,,,,,,46.5390842,24.5611703
57,20057,Clinica de Chirurgie și Ortopedie Pediatrică Dr. Trestianu Viorel,,Timișoara,,300002,,,,,Yes,,45.7544314,21.2214259
58,20058,Clinica de Dermato-Venerologie,Strada Gheorghe Doja 12,Târgu Mureș,,540052,,+40-365-882534,,,,,46.5386642,24.5578261
59,20059,Clinica de Nefrologie,Strada Victor Babeș nan,Cluj-Napoca,Cluj,400006,,,,,,,46.7659334,23.5849339
60,20060,Clinica de Neonatologie-Prematuri,Bulevardul 1848 24,Târgu Mureș,,540052,,+40-265-237019,,,,,46.5327565,24.5578442
61,20061,Clinica de Neurochirurgie,,Cluj-Napoca,Cluj,400349,,,,,Yes,,46.762083,23.584948
62,20062,Clinica de Neurologie,,Cluj-Napoca,Cluj,400349,,,,,Yes,,46.7626379,23.5845725
63,20063,Clinica de Neurologie - Psihiatrie - Neurochirurgie,Strada Profesor Gheorghe Marinescu 43,Cluj-Napoca,Cluj,400349,,,,,Yes,,46.7632148,23.5845951
64,20064,Clinica de Neuropsihiatrie,Aleea Potelu 24,Craiova,Dolj,200319,,,,,,,44.2959654,23.8053568
65,20065,Clinica de Neuropsihiatrie Pediatrică,Pasajul Panseluțelor 5,Târgu Mureș,,540052,,+40-265-264388,,,,,46.5369554,24.5646547
