3912,13912,North Beverley Medical Centre,,Beverley,East Riding Of Yorkshire,HU17 8,,,,,,,53.8573084,-0.4397809
3913,13913,Uppingham Surgery,,Oakham,Rutland,LE15 9,,,,,,,52.5952102,-0.7237305
3914,13914,Bath Buildings Surgery,,Bristol,County Of Bristol,BS1 6,,,,,,,51.4667737,-2.5892502
3915,13915,Gower Street Practice,Gower Street 20,London,Greater London,WC1A 2,,,,,,,51.5203145,-0.1301228
3916,13916,Bishopgate Medical Centre,Newgate Street 178,Bishop Auckland,Durham,DL14 6,,+44 1388 660990,,,,,54.6588331,-1.6762378
3917,13917,Langworthy Medical Practice,Langworthy Road 250,Salford,Greater Manchester,M6 5,,,,,,,53.4898492,-2.2948436
3918,13918,Ruthin Community Hospital,Llanrhydd Street nan,Ruthin,Denbighshire,LL15 1,,,,,,,53.1132021,-3.3045988
3919,13919,Garden Hill Primary Care Centre,,Castle Douglas,Dumfries And Galloway,DG7 1,,,,,,,54.9498805,-3.9235089
3920,13920,Surgery,,Flint,Flintshire,CH6 5,,,,,,,53.2465049,-3.1374334
3921,13921,Nevill Hall Hospital,,Abergavenny,Monmouthshire,NP7 5,,,,,,,51.8262232,-3.0354601
3922,13922,Borders General Hospital,,Melrose,Scottish Borders,TD6 9,,,,,Yes,,55.5930707,-2.7451407
3923,13923,New Hall Hospital,,,Wrexham,LL14 6,,,,,,,52.9988344,-3.0301235
3924,13924,Portland Hospital (Minor Injuries Unit),,Portland,Guernsey Channel Islands,DT5 1,,,,,No,,50.5657563,-2.4453543
3925,13925,Kington Surgery,,Kington,Hereford And Worcester,HR5 3,,,,,,,52.1968214,-3.0213967
3926,13926,Kensington Medical Centre,Donegall Road 15A,Belfast,Belfast,BT2 7,,,,,,,54.589754,-5.9357153
3927,13927,Kensington Medical Centre,Donegall Road 15A,Belfast,Belfast Greater,BT2 7,,,,,,,54.589754,-5.9357153
3928,13928,The Argyll and Bute Hospital,,Lochgilphead,Argyll And Bute,PA31 8,,,,,,,56.0422204,-5.4200367
3929,13929,East Ayrshire Community Hospital,,Cumnock,East Ayrshire,KA18 1,,,,,,,55.451707,-4.2731345
3930,13930,Peel View Medical Centre,,Glasgow,East Dunbartonshire,G66 3,,,,,,,55.9392645,-4.1598432
3931,13931,Mearns Medical Centre,,Glasgow,East Renfrewshire,G77 6,,,,,,,55.7722769,-4.3325442
3932,13932,Meeks Road Surgery,Meeks Road 10,Falkirk,Falkirk,FK1 5,,+44 1324 619 930,,,,,56.0031265,-3.7861985
3933,13933,Strathlene Surgery,,Muir of Ord,Highland,IV6 7,,,,,,,57.5177316,-4.45763
3934,13934,Port Glasgow Health Centre,,Port Glasgow,Inverclyde,PA14 5,,,,,,,55.93456,-4.6865449
3935,13935,Rothes Surgery,,Aberlour,Moray,AB38 7,,,,,,,57.5261709,-3.2074229
3936,13936,West Kilbride Medical Practice,Main Street 107b,West Kilbride,North Ayrshire,KA23 9,,,,,No,,55.6950026,-4.8573479
3937,13937,Wester Moffat Hospital,,Airdrie,North Lanarkshire,ML6 6,,,,,No,,55.8687019,-3.9426312
3938,13938,Sanday Surgery,,Orkney,Orkney Islands,KW17 2,,,,,,,59.2566206,-2.5439826
3939,13939,Ayrshire Hospice,Racecourse Road 35,Ayr,South Ayrshire,KA7 2,,+44 1292 269200,,,,,55.4527318,-4.6359028
3940,13940,Lockhart Hospital,,Lanark,South Lanarkshire,ML11 9,,,,,,,55.6704944,-3.7603773
3941,13941,Callander Medical Centre,Geisher Road nan,,Stirling,,,,,,,,56.2386131,-4.1977263
3942,13942,Tillydrone Clinic,,Aberdeen,Aberdeen City,AB11 6,,,,,,,57.1719607,-2.1127648
3943,13943,Arthurstone Medical Centre,Arthurstone Terrace 39,Dundee,Dundee City,DD1 3,,,,,,,56.4692792,-2.9613534
3944,13944,Perth Royal Infirmary,,Perth,Perth And Kinross,PH1 5,,,,,Yes,,56.3983917,-3.4557482
3945,13945,Slateford Medical Centre,,Edinburgh,City Of Edinburgh,EH14 1,,,,,,,55.9335628,-3.2379496
3946,13946,Butterbiggins Medical Centre,,Glasgow,Glasgow City,G41 1,,,,,No,,55.8407017,-4.2610735
3947,13947,Dumbarton Health Centre,,Dumbarton,West Dunbart,G82 1,,,,,,,55.9456146,-4.5745894
3948,13948,Raon Mheadaiceach Cheann a Deas na Hearadh,,,Western Isles,,,,,,,,57.7687486,-7.0111096
3949,13949,Glanrhyd Hospital,,Bridgend,Bridgend,CF31 4,,,,,,,51.5246923,-3.5871437
3950,13950,Ysbyty Aneurin Bevan,,Ebbw Vale,Blaenau Gwent,NP23 5,,,,,,,51.7666659,-3.204099
3951,13951,The Surgery,,Hengoed,Caerphilly,CF82 8,,,,,,,51.6419204,-3.2348092
3952,13952,Brynmeddyg,,Llanybydder,Ceredigion,SA40 9,,,,,,,52.0739944,-4.1519443
3953,13953,Ysbyty Cyffredinol Glangwili / Glangwili General Hospital,Dolgwili Road nan,Carmarthen,Carmarthenshire,SA31 2,,+44 1267 235151,,,,,51.870182,-4.2831556
3954,13954,St Isan Road Surgery,Saint Isan Road 46,Cardiff,Cardiff,CF10 1,,+44 29 2061 2333,,,,,51.5172678,-3.1904247
3955,13955,Colwyn Bay Community Hospital,Hesketh Road nan,Colwyn Bay,Conwy,LL29 7,,,,,,,53.2873083,-3.7091075
3956,13956,Saint Tydfil's Hospital,,Merthyr Tydfil,Merthyr Tydfil,CF47 8,,,,,,,51.7489279,-3.3762778
3957,13957,Tonna Hospital,,Neath,Neath Port Talbot,SA11 3,,,,,,,51.6797355,-3.7643504
3958,13958,St. Brides Medical Care Centre,Tredegar House Drive nan,Newport,Newport,NP10 8,,,,,,,51.5568962,-3.0196015
3959,13959,Withybush Hospital,,Haverfordwest,Pembrokeshire,SA61 1,,,,,,,51.8140208,-4.966979
3960,13960,Fairwood Hospital,,,Swansea,SA2 7,,,,,,,51.616367,-4.0493104
3961,13961,County Hospital,,Pontypool,Torfaen,NP4 5,,,,,,,51.6905929,-3.0281453
3962,13962,Old School Surgery,,Pontyclun,Vale Of Glamorgan,CF72 9,,,,,,,51.524312,-3.3915897
3963,13963,Ysbyty Cwm Rhondda,Partridge Road nan,Tonypandy,Rhondda Cynon Taff,CF40 2,,+44 1443 430022,,,,,51.6350785,-3.4496281
3964,13964,Ysbyty Cefni,Stryd y Bont nan,,Isle Of Anglesey,,,,,,No,,53.2568765,-4.303559
3965,13965,Palatine Health Centre,,,Isle Of Man,,,,,,,,54.1730386,-4.51026
3966,13966,Portland Hospital (Minor Injuries Unit),,Portland,Channel Islands,DT5 1,,,,,No,,50.5657563,-2.4453543
3967,13967,Portland Hospital (Minor Injuries Unit),,Portland,Jersey Channel Islands,DT5 1,,,,,No,,50.5657563,-2.4453543
