FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED
0,0,Abbekås,M,Skåne,0.15,0.15,0.1,0.15,0.1
1,1,Alafors,O,Västra Götaland,0.15,0.15,0.1,0.15,0.1
2,2,Alby,AB,Stockholm,0.15,0.15,0.1,0.15,0.1
3,3,Alfta,X,Gävleborg,0.15,0.15,0.1,0.15,0.1
4,4,Alingsås,O,Västra Götaland,0.15,0.15,0.1,0.15,0.1
5,5,Almunge,C,Uppsala,0.15,0.15,0.1,0.15,0.1
6,6,Alster,S,Värmland,0.15,0.15,0.1,0.15,0.1
7,7,Alstermo,G,Kronoberg,0.15,0.15,0.1,0.15,0.1
8,8,Alunda,C,Uppsala,0.15,0.15,0.1,0.15,0.1
9,9,Alvesta,G,Kronoberg,0.15,0.15,0.1,0.15,0.1
10,10,Anderslöv,M,Skåne,0.15,0.15,0.1,0.15,0.1
11,11,Anderstorp,O,Västra Götaland,0.15,0.15,0.1,0.15,0.1
12,12,Anderstorp,F,Jönköping,0.15,0.15,0.1,0.15,0.1
13,13,Aneby,F,Jönköping,0.15,0.15,0.1,0.15,0.1
14,14,Angered,O,Västra Götaland,0.15,0.15,0.1,0.15,0.1
15,15,Ankarsrum,H,Kalmar,0.15,0.15,0.1,0.15,0.1
16,16,Ankarsvik,Y,Västernorrland,0.15,0.15,0.1,0.15,0.1
17,17,Anneberg,F,Jönköping,0.15,0.15,0.1,0.15,0.1
18,18,Anneberg,C,Uppsala,0.15,0.15,0.1,0.15,0.1
19,19,Arboga,U,Västmanland,0.15,0.15,0.1,0.15,0.1
20,20,Arbrå,X,Gävleborg,0.15,0.15,0.1,0.15,0.1
21,21,Arild,M,Skåne,0.15,0.15,0.1,0.15,0.1
22,22,Arjeplog,BD,Norrbotten,0.15,0.15,0.1,0.15,0.1
23,23,Arkelstorp,M,Skåne,0.15,0.15,0.1,0.15,0.1
24,24,Arlöv,M,Skåne,0.15,0.15,0.1,0.15,0.1
25,25,Arvidsjaur,BD,Norrbotten,0.15,0.15,0.1,0.15,0.1
26,26,Arvika,S,Värmland,0.15,0.15,0.1,0.15,0.1
27,27,Askersund,T,Örebro,0.15,0.15,0.1,0.15,0.1
28,28,Asmundtorp,M,Skåne,0.15,0.15,0.1,0.15,0.1
29,29,Avesta,W,Dalarna,0.15,0.15,0.1,0.15,0.1
30,30,Axvall,O,Västra Götaland,0.15,0.15,0.1,0.15,0.1
31,31,Backa,AC,Västerbotten,0.15,0.15,0.1,0.15,0.1
32,32,Backa,W,Dalarna,0.15,0.15,0.1,0.15,0.1
33,33,Backe,Z,Jämtland,0.15,0.15,0.1,0.15,0.1
34,34,Bankeryd,F,Jönköping,0.15,0.15,0.1,0.15,0.1
35,35,Barsebäck,M,Skåne,0.15,0.15,0.1,0.15,0.1
36,36,Bengtsfors,O,Västra Götaland,0.15,0.15,0.1,0.15,0.1
37,37,Berg,E,Östergötland,0.15,0.15,0.1,0.15,0.1
38,38,Berga,H,Kalmar,0.15,0.15,0.1,0.15,0.1
39,39,Bergby,X,Gävleborg,0.15,0.15,0.1,0.15,0.1
40,40,Bergeforsen,Y,Västernorrland,0.15,0.15,0.1,0.15,0.1
41,41,Bergkvara,H,Kalmar,0.15,0.15,0.1,0.15,0.1
42,42,Bergshamra,AB,Stockholm,0.15,0.15,0.1,0.15,0.1
43,43,Bergsjö,X,Gävleborg,0.15,0.15,0.1,0.15,0.1
44,44,Bergvik,X,Gävleborg,0.15,0.15,0.1,0.15,0.1
45,45,Billdal,O,Västra Götaland,0.15,0.15,0.1,0.15,0.1
46,46,Billeberga,M,Skåne,0.15,0.15,0.1,0.15,0.1
47,47,Billesholm,M,Skåne,0.15,0.15,0.1,0.15,0.1
48,48,Billingsfors,O,Västra Götaland,0.15,0.15,0.1,0.15,0.1
49,49,Bjurholm,AC,Västerbotten,0.15,0.15,0.1,0.15,0.1
50,50,Bjursås,W,Dalarna,0.15,0.15,0.1,0.15,0.1
51,51,Bjuv,M,Skåne,0.15,0.15,0.1,0.15,0.1
52,52,Bjärnum,M,Skåne,0.15,0.15,0.1,0.15,0.1
53,53,Bjärred,M,Skåne,0.15,0.15,0.1,0.15,0.1
54,54,Bjästa,Y,Västernorrland,0.15,0.15,0.1,0.15,0.1
