,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,Akademiska sjukhuset,nan nan,Uppsala,Uppsala,753 09,,,,,Yes,,59.8533066,17.6390728
1,10001,Alingsås lasarett,nan nan,Alingsås,Alingsås,441 30,,,,,Yes,,57.9281109,12.5193569
2,10002,Ambulansstation (under construction),nan nan,,,,,,,,,,60.0271769,13.5858201
3,10003,Berga Sjukhus,nan nan,,,,,,,,,,59.0824202,18.1343519
4,10004,Blackebergs sjukhus,nan nan,Stockholm,Stockholm,168 48,,,,,,,59.3409085,17.8814962
5,10005,Blekingesjukhuset Karlskrona,nan nan,Karlskrona,Karlskrona,371 31,,,,,Yes,,56.1808907,15.6024515
6,10006,Bollnäs sjukhus,nan nan,Bollnäs,Bollnäs,821 42,,,,,Yes,,61.3540388,16.3592098
7,10007,Borlänge Sjukhus,nan nan,Borlänge,Borlänge,784 34,,,,,,,60.5046902,15.4645268
8,10008,Brinkåsen,nan nan,,,,,,,,,,58.3464421,12.3631637
9,10009,Bromma sjukhus,Follingbogatan 32,Stockholm,Stockholm,168 62,,+4686875000,,,,,59.3596217,17.8993198
10,10010,Carlanderska sjukhus,Carlandersplatsen nan,Göteborg,Göteborg,412 65,,,,,,,57.6929234,11.9889492
11,10011,Centrallasarettet Växjö,nan nan,Växjö,Växjö,352 29,,,,,Yes,,56.8754926,14.8053606
12,10012,Centralsjukhuset Kristianstad,J A Hedlunds väg 5,Kristianstad,Kristianstad,291 31,,+46 44 3091000,,,Yes,,56.0279604,14.1719418
13,10013,Centralsjukhuset i Karlstad,nan nan,Karlstad,Karlstad,652 25,,,,,Yes,,59.3784825,13.4808361
14,10014,Dalens Närsjukhus,nan nan,Stockholm,Stockholm,122 62,,,,,,,59.2885986,18.0969141
15,10015,Dalslands Sjukhus,nan nan,Bäckefors,Bengtsfors,668 40,,,,,Yes,,58.7995545,12.159657
16,10016,Danderyds sjukhus,nan nan,Danderyd,Danderyd,182 33,,,,,Yes,,59.3929656,18.0347549
17,10017,Ekbacken,nan nan,Lammhult,Växjö,363 44,,,,,,,57.1690534,14.5918323
18,10018,Elisabethsjukhuset,Geijersgatan 20,Uppsala,Uppsala,752 29,,+46 18 188800,,,,,59.8628355,17.620063
19,10019,Enköpings Lasarett,nan nan,Enköping,Enköping,745 30,,,,,Yes,,59.6290458,17.0668262
20,10020,Ersta sjukhus,nan nan,Stockholm,Stockholm,116 21,,,,,,,59.315916,18.0886925
21,10021,Falu Lasarett,nan nan,Falun,Falun,791 62,,,,,Yes,,60.6087947,15.6408404
22,10022,Filipstad vårdcentral,nan nan,Filipstad,Filipstad,682 30,,,,,,,59.7128413,14.1781752
23,10023,Finspångs Lasarett,nan nan,Finspång,Finspång,612 30,,,,,,,58.7095469,15.7602316
24,10024,Frölunda specialistsjukhus,nan nan,Göteborg,Göteborg,421 44,,,,,,,57.6507178,11.9120228
25,10025,Gällivare sjukhus,Källgatan 14,Gällivare,Gällivare,982 31,,,,,Yes,,67.1301719,20.6803771
26,10026,Gävle Sjukhus ingång 25,nan nan,Gävle,Gävle,803 20,,,,,,,60.6793361,17.11901
27,10027,Habiliteringsmottagning Sundsvall,Kungsvägen 30,Sundsvall,Sundsvall,852 32,,060-18 29 00,,,No,,62.3996292,17.3138881
28,10028,Hallands sjukhus Varberg,nan nan,Varberg,Varberg,432 44,,,,,Yes,,57.0963362,12.2762308
29,10029,Helix,nan nan,,,,,,,,,,59.2146337,17.9302963
30,10030,Helsingborgs lasarett,nan nan,Helsingborg,Helsingborg,252 24,,,,,Yes,,56.0446526,12.7036352
31,10031,Hudiksvalls sjukhus,nan nan,Hudiksvall,Hudiksvall,824 30,,,,,Yes,,61.7284921,17.0966634
32,10032,Hässleholms Sjukhus,nan nan,Hässleholm,Hässleholm,281 31,,,,,Yes,,56.1599371,13.7763263
33,10033,Höglandssjukhuset Eksjö,nan nan,Eksjö,Eksjö,575 31,,,,,Yes,,57.6654478,14.9693386
34,10034,Höglandssjukhuset Eksjö-Nässjö,nan nan,Nässjö,Nässjö,571 31,,,,,,,57.6542264,14.7132043
35,10035,Högsbo sjukhus,nan nan,Göteborg,Göteborg,421 44,,,,,,,57.6675791,11.9305844
36,10036,Jakobsbergs sjukhus,nan nan,Jakobsberg,Järfälla,177 50,,,,,,,59.4229976,17.8472524
37,10037,Kalix sjukhus,nan nan,Kalix,Kalix,952 33,,,,,Yes,,65.8542689,23.1542119
38,10038,Karlskoga Lasarett,nan nan,Karlskoga,Karlskoga,691 31,,,,,Yes,,59.3169402,14.5034747
39,10039,Karolinska universitetssjukhuset,nan nan,Haga,Solna,171 64,,,,,Yes,,59.3536241,18.0313548
40,10040,Karolinska universitetssjukhuset Huddinge,nan nan,Flemingsberg,Huddinge,141 49,,,,,Yes,,59.2248589,17.9313539
41,10041,Karsuddens sjukhus,nan nan,Katrineholm,Katrineholm,641 96,,,,,,,59.0164861,16.2074635
42,10042,Karsuddens sjukhus,nan nan,,,,,,,,,,59.0177208,16.2047468
43,10043,Knäred Vårdcentral,nan nan,,,,,,,,Yes,,56.5209357,13.3160174
44,10044,Kungälvs sjukhus,nan nan,Kungälv,Kungälv,442 31,,,,,Yes,,57.8791847,11.9700739
45,10045,Landskrona lasarett,nan nan,Landskrona,Landskrona,261 32,,,,,,,55.8782693,12.8431768
46,10046,Lasarettet Trelleborg,nan nan,Trelleborg,Trelleborg,231 64,,,,,Yes,,55.3820195,13.1638935
47,10047,Lasarettet i Motala,nan nan,Motala,Motala,591 30,,,,,Yes,,58.5455429,15.0271397
48,10048,Lasarettet i Ystad,nan nan,Ystad,Ystad,271 41,,,,,Yes,,55.4362111,13.8191683
49,10049,Lidingö Sjukhus,Högsätravägen 2,Lidingö,Lidingö,181 57,,,,,,,59.3509691,18.1495998
50,10050,Lycksele lasarett,nan nan,Lycksele,Lycksele,921 31,,,,,Yes,,64.5837282,18.6816453
51,10051,Lysekils sjukhus,nan nan,Lysekil,Lysekil,453 31,,,,,,,58.2802561,11.4398025
52,10052,Länssjukhuset Sundsvall-Härnösand,nan nan,Sundsvall,Sundsvall,852 32,,,,,Yes,,62.4059761,17.3034485
53,10053,Länssjukhuset i Kalmar,nan nan,Kalmar,Kalmar,392 31,,,,,Yes,,56.6579411,16.334527
54,10054,Löwenströmska sjukhuset,nan nan,,,,,,,,,,59.5463619,17.9054802
55,10055,Mora lasarett,nan nan,Mora,Mora,792 37,,,,,Yes,,61.0173353,14.5841803
56,10056,Mälarsjukhuset,nan nan,Eskilstuna,Eskilstuna,632 19,,,,,Yes,,59.3639683,16.5349165
57,10057,Mölndals Sjukhus,nan nan,Mölndal,Mölndal,431 31,,,,,Yes,,57.6620168,12.0092939
58,10058,Nacka sjukhus,nan nan,Nacka,Nacka,131 53,,,,,Yes,,59.3114132,18.1988271
59,10059,Norra sjukhusområdet,nan nan,Ängelholm,Ängelholm,262 37,,,,,,,56.2370107,12.859611
60,10060,Norra Älvsborgs Länssjukhus,nan nan,,,,,,,,Yes,,58.3169157,12.259693
61,10061,Norrlands universitetssjukhus,nan nan,Umeå,Umeå,903 26,,,,,Yes,,63.8155225,20.3032206
62,10062,Norrtälje Sjukhus,nan nan,Norrtälje,Norrtälje,761 30,,,,,Yes,,59.7571271,18.6860666
63,10063,Nyköpings lasarett,nan nan,Nyköping,Nyköping,611 32,,,,,Yes,,58.7585969,16.9963229
64,10064,Oskarshamns Sjukhus,nan nan,Oskarshamn,Oskarshamn,572 42,,,,,Yes,,57.262836,16.4231328
65,10065,Piteå Älvdals Sjukhus,nan nan,Piteå,Piteå,941 37,,,,,Yes,,65.3136389,21.4927767
66,10066,Praktikertjänst Närsjukhus Strömstad,Västra Hamngatan 10-12,Strömstad,Strömstad,452 30,,,,,,,58.9411553,11.1693155
67,10067,Rosenlunds sjukhus,nan nan,Stockholm,Stockholm,116 21,,,,,,,59.3114232,18.0631818
68,10068,Roslagens Sjukhus,nan nan,Norrtälje,Norrtälje,761 30,,,,,,,59.7633105,18.7141001
69,10069,Rättspsykiatri Västmanland,nan nan,,,,,,,,No,,59.9346278,16.6037722
70,10070,Rättspsykiatriska regionkliniken i Sundsvall,nan nan,Sundsvall,Sundsvall,852 32,,,,,No,,62.3929648,17.2418457
71,10071,Sahlgrenska Universitetssjukhuset,nan nan,Göteborg,Göteborg,413 19,,,,,Yes,,57.6830636,11.9554892
72,10072,Saltsjöbadens sjukhus,Rösundavägen 2,Saltsjöbaden,Nacka,133 35,,,,,,,59.2739158,18.3057641
73,10073,Sankt Eriks ögonsjukhus,nan nan,Stockholm,Stockholm,112 32,,,,,,,59.3347154,18.0389373
74,10074,Sankt Görans sjukhus,nan nan,Stockholm,Stockholm,112 18,,,,,Yes,,59.3336847,18.0244994
75,10075,Simrishamns Sjukhus,nan nan,Simrishamn,Simrishamn,272 31,,,,,,,55.5527252,14.3378546
76,10076,Sjukhuset Arvika,nan nan,Arvika,Arvika,671 31,,,,,Yes,,59.6663965,12.6133587
77,10077,Skaraborgs Sjukhus Falköping,nan nan,,,,,+46-515-87000,,,,,58.1916925,13.5550599
78,10078,Skellefteå Lasarett,nan nan,Skellefteå,Skellefteå,931 30,,,,,Yes,,64.7547546,20.9460903
79,10079,Skånes Universitetsjukhus Malmö,nan nan,Malmö,Malmö,211 43,,,,,Yes,,55.5920053,12.9982011
80,10080,Sollefteå sjukhus,Lassarettsgatan 6,Sollefteå,Sollefteå,881 30,,,,,Yes,,63.1762201,17.2339234
81,10081,Sophiahemmet,nan nan,Stockholm,Stockholm,114 47,,,,,No,,59.344677,18.0762261
82,10082,Sophiahemmet,nan nan,Stockholm,Stockholm,114 18,,,,,,,59.3486208,18.0793182
