STATE,ST,TIMEZONE,TZ
Ljubljana,061,Central European Time,CET
Kamnik,043,Central European Time,CET
Domžale,,Central European Time,CET
Litija,060,Central European Time,CET
Grosuplje,032,Central European Time,CET
Ribnica,104,Central European Time,CET
Kočevje,,Central European Time,CET
Vrhnika,140,Central European Time,CET
Cerknica,013,Central European Time,CET
Logatec,064,Central European Time,CET
Zagorje Ob Savi,142,Central European Time,CET
Trbovlje,129,Central European Time,CET
Hrastnik,034,Central European Time,CET
Laško,,Central European Time,CET
Sevnica,110,Central European Time,CET
Maribor,070,Central European Time,CET
Pesnica,089,Central European Time,CET
Gornja Radgona,029,Central European Time,CET
Lenart,058,Central European Time,CET
Ptuj,096,Central European Time,CET
Ormož,,Central European Time,CET
Slovenska Bistrica,113,Central European Time,CET
Ruše,,Central European Time,CET
Radlje Ob Dravi,101,Central European Time,CET
Žalec,,Central European Time,CET
Dravograd,025,Central European Time,CET
Slovenj Gradec,112,Central European Time,CET
Ravne Na Koroškem,,Central European Time,CET
Ilirska Bistrica,038,Central European Time,CET
Celje,011,Central European Time,CET
Slovenske Konjice,114,Central European Time,CET
Šentjur Pri Celju,,Central European Time,CET
Šmarje Pri Jelšah,,Central European Time,CET
Velenje,133,Central European Time,CET
Mozirje,079,Central European Time,CET
Kranj,052,Central European Time,CET
Škofja Loka,,Central European Time,CET
Radovljica,102,Central European Time,CET
Tolmin,128,Central European Time,CET
Jesenice,041,Central European Time,CET
Tržič,,Central European Time,CET
Nova Gorica,084,Central European Time,CET
Ajdovščina,,Central European Time,CET
Idrija,036,Central European Time,CET
Koper,050,Central European Time,CET
Sežana,,Central European Time,CET
Postojna,094,Central European Time,CET
Piran,090,Central European Time,CET
Novo Mesto,085,Central European Time,CET
Trebnje,130,Central European Time,CET
Brežice,,Central European Time,CET
Krško,,Central European Time,CET
Metlika,073,Central European Time,CET
Črnomelj,,Central European Time,CET
Murska Sobota,080,Central European Time,CET
Lendava,059,Central European Time,CET
Ljutomer,063,Central European Time,CET
