,USPS,ST,NAME,ZCTA5,LAT,LON
0,,,Ljubljana - dostava,1000,46.0511,14.5051
1,,,Ljubljana - poštni predali,1001,46.0511,14.5051
2,,,Ljubljana Šentvid,1210,46.0964,14.4697
3,,,Ljubljana-Šmartno,1211,46.168,14.5217
4,,,Medvode,1215,46.1333,14.4333
5,,,Smlednik,1216,46.1642,14.4325
6,,,Vodice,1217,46.1899,14.4949
7,,,Komenda,1218,46.2048,14.5384
8,,,Laze v Tuhinju,1219,46.2194,14.7611
9,,,Motnik,1221,46.2153,14.8911
10,,,Trojane,1222,46.1883,14.8831
11,,,Blagovica,1223,46.1769,14.8072
12,,,Lukovica,1225,46.1667,14.7
13,,,Domžale,1230,46.1377,14.5937
14,,,Ljubljana Črnuče,1231,46.1527,14.5952
15,,,Dob,1233,46.1519,14.6286
16,,,Mengeš,1234,46.1669,14.575
17,,,Radomlje,1235,46.1736,14.6122
18,,,Trzin,1236,46.1333,14.5667
19,,,Kamnik,1241,46.2259,14.6121
20,,,Stahovica,1242,46.2619,14.6022
21,,,Moravče,1251,46.1369,14.745
22,,,Vače,1252,46.12,14.8392
23,,,Ljubljana Polje,1260,46.0667,14.5833
24,,,Ljubljana-Dobrunje,1261,46.0333,14.5833
25,,,Dol pri Ljubljani,1262,46.0886,14.6008
26,,,Litija,1270,46.0586,14.8225
27,,,Polšnik,1272,46.0667,14.95
28,,,Dole pri Litiji,1273,46.0353,15.0189
29,,,Gabrovka,1274,46.0167,15
30,,,Šmartno pri Litiji,1275,46.0444,14.8442
31,,,Primskovo,1276,45.9717,14.9104
32,,,Kresnice,1281,46.102,14.7858
33,,,Sava,1282,46.0898,14.8904
34,,,Grosuplje,1290,45.9556,14.6589
35,,,Škofljica,1291,45.9833,14.5767
36,,,Ig,1292,45.9603,14.5289
37,,,Šmarje-Sap,1293,45.9762,14.6118
38,,,Višnja Gora,1294,45.9539,14.7453
39,,,Ivančna Gorica,1295,45.9383,14.8044
40,,,Šentvid pri Stični,1296,45.95,14.8434
41,,,Krka,1301,45.8813,14.7781
42,,,Zagradec,1303,45.8614,14.8342
43,,,Ribnica,1310,45.7386,14.7275
44,,,Turjak,1311,45.8789,14.6153
45,,,Videm-Dobrepolje,1312,45.85,14.6942
