,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,Bolnica Dr. Petra Držaja,Vodnikova cesta 62,Ljubljana,Ljubljana,1000,,,,,Yes,,46.067997,14.4868755
1,10001,Bolnica za ženske bolezni in porodnišnica,Prečna ulica 4,Postojna,Postojna,6230,,,,,,,45.7719086,14.2101056
2,10002,Bolnišnica Brežice - Ambulante,,Brežice,Brežice,8250,,,,,,,45.9092976,15.5939863
3,10003,Bolnišnica Sežana,Cankarjeva ulica 4,Sežana,Sežana,6210,,+386 5 7074000,,,,,45.7094772,13.8672205
4,10004,Bolnišnica Topolšica,,Šoštanj,Velenje,3326,,,,,,,46.4049219,15.0202028
5,10005,Bolnišnica za ginekologijo in porodništvo Kranj,Kidričeva cesta 38a,Kranj,Kranj,4000,,,,,,,46.2486785,14.354152
6,10006,IATROS,Parmova ulica 51B,Ljubljana,Ljubljana,1000,,,,,,,46.0645199,14.5023533
7,10007,Interni oddelek,Potrčeva cesta 23,Ptuj,Ptuj,2250,,,,,,,46.4263035,15.876253
8,10008,Ivančna Gorica,,Ivančna Gorica,Grosuplje,1295,,,,,,,45.9376381,14.8054871
9,10009,Kirurški oddelek,Potrčeva cesta 21,Ptuj,Ptuj,2250,,,,,,,46.4260491,15.8760827
10,10010,Kirurški sanatorij,Rožna dolina Cesta XV 6,Ljubljana,Ljubljana,1000,,,,,,,46.0463217,14.4811128
11,10011,Klinika za infekcijske bolezni in vročinska stanja,,Ljubljana,Ljubljana,1000,,,,,,,46.0563373,14.5220905
12,10012,Klinični oddelek za gastroenterologijo,,Ljubljana,Ljubljana,1000,,,,,,,46.0560848,14.5219009
13,10013,Leonišče,,Ljubljana,Ljubljana,1000,,,,,,,46.0532416,14.5233779
14,10014,Oddelek za pljučne bolezni,Slivniško Pohorje 7,Hoče-Slivnica,Maribor,2312,,,,,,,46.4831385,15.576683
15,10015,Očesna klinika Ljubljana,Grablovičeva ulica 46,Ljubljana,Ljubljana,1000,,,,,,,46.0552459,14.529164
16,10016,Pivnica Donat,Zdraviliški trg nan,Rogaška Slatina,Šmarje Pri Jelšah,3250,,,,,,,46.2389391,15.640403
17,10017,Psihiatrična klinika Ljubljana,,Ljubljana,Ljubljana,1000,,,,,,,46.0518964,14.5693615
18,10018,Specialistični pregledi,Derčeva ulica 35,Ljubljana,Ljubljana,1000,,,,,,,46.0713751,14.4828394
19,10019,Splošna Ambulanta Poljčane,Bistriška cesta 62,Poljčane,Slovenska Bistrica,2319,,,,,,,46.3130359,15.5780869
20,10020,Splošna Bolnišnica Izola - Ospedale Generale Isola,Polje 40,Izola,Izola,6310,,+386 5 6606 299,,,Yes,,45.5449708,13.6851455
21,10021,Splošna Bolnišnica Slovenj Gradec,,Slovenj Gradec,Slovenj Gradec,2380,,,,,Yes,,46.5092984,15.0812473
22,10022,Splošna bolnišnica,,Slovenj Gradec,Slovenj Gradec,2380,,,,,,,46.5084666,15.0821904
23,10023,Splošna bolnišnica,Šmihelska cesta 1,Novo mesto,Novo Mesto,8000,,,,,,,45.8001691,15.1630882
