FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED
0,0,Banská Bystrica,BC,Banskobystrický Kraj,0.15,0.15,0.1,0.15,0.1
1,1,Bardejov,PV,Prešovský Kraj,0.15,0.15,0.1,0.15,0.1
2,2,Betliar,KI,Košický Kraj,0.15,0.15,0.1,0.15,0.1
3,3,Bešeňová,ZI,Žilinský Kraj,0.15,0.15,0.1,0.15,0.1
4,4,Bijacovce,PV,Prešovský Kraj,0.15,0.15,0.1,0.15,0.1
5,5,Bojnice,TC,Trenčiansky Kraj,0.15,0.15,0.1,0.15,0.1
6,6,Bratislava,BL,Bratislavský Kraj,0.15,0.15,0.1,0.15,0.1
7,7,Brezová pod Bradlom,TC,Trenčiansky Kraj,0.15,0.15,0.1,0.15,0.1
8,8,Bytča,ZI,Žilinský Kraj,0.15,0.15,0.1,0.15,0.1
9,9,Bánovce nad Bebravou,TC,Trenčiansky Kraj,0.15,0.15,0.1,0.15,0.1
10,10,Chlmec,PV,Prešovský Kraj,0.15,0.15,0.1,0.15,0.1
11,11,Detva,BC,Banskobystrický Kraj,0.15,0.15,0.1,0.15,0.1
12,12,Dobšiná,KI,Košický Kraj,0.15,0.15,0.1,0.15,0.1
13,13,Dolný Kubín,ZI,Žilinský Kraj,0.15,0.15,0.1,0.15,0.1
14,14,Dubnica nad Váhom,TC,Trenčiansky Kraj,0.15,0.15,0.1,0.15,0.1
15,15,Dudince,BC,Banskobystrický Kraj,0.15,0.15,0.1,0.15,0.1
16,16,Dunajská Lužná,BL,Bratislavský Kraj,0.15,0.15,0.1,0.15,0.1
17,17,Dunajská Streda,TA,Trnavský Kraj,0.15,0.15,0.1,0.15,0.1
18,18,Fiľakovo,BC,Banskobystrický Kraj,0.15,0.15,0.1,0.15,0.1
19,19,Gabčíkovo,TA,Trnavský Kraj,0.15,0.15,0.1,0.15,0.1
20,20,Galanta,TA,Trnavský Kraj,0.15,0.15,0.1,0.15,0.1
21,21,Gbely,TA,Trnavský Kraj,0.15,0.15,0.1,0.15,0.1
22,22,Gelnica,KI,Košický Kraj,0.15,0.15,0.1,0.15,0.1
23,23,Giraltovce,PV,Prešovský Kraj,0.15,0.15,0.1,0.15,0.1
24,24,Handlová,TC,Trenčiansky Kraj,0.15,0.15,0.1,0.15,0.1
25,25,Holíč,TA,Trnavský Kraj,0.15,0.15,0.1,0.15,0.1
26,26,Hriňová,BC,Banskobystrický Kraj,0.15,0.15,0.1,0.15,0.1
27,27,Humenné,PV,Prešovský Kraj,0.15,0.15,0.1,0.15,0.1
28,28,Hybe,ZI,Žilinský Kraj,0.15,0.15,0.1,0.15,0.1
29,29,Ilava,TC,Trenčiansky Kraj,0.15,0.15,0.1,0.15,0.1
30,30,Ivanka pri Dunaji,BL,Bratislavský Kraj,0.15,0.15,0.1,0.15,0.1
31,31,Kavečany,KI,Košický Kraj,0.15,0.15,0.1,0.15,0.1
32,32,Kežmarok,PV,Prešovský Kraj,0.15,0.15,0.1,0.15,0.1
