,USPS,ST,NAME,ZCTA5,LAT,LON
0,Banskobystrický Kraj,BC,Jakub,974 01,48.7681,19.1363
1,Banskobystrický Kraj,BC,Horná Mičiná,974 01,48.6989,19.2144
2,Banskobystrický Kraj,BC,Šalková,974 01,48.7378,19.2174
3,Banskobystrický Kraj,BC,Prostredná Môlča,974 01,48.7157,19.2283
4,Banskobystrický Kraj,BC,Horná Môlča,974 01,48.7075,19.2371
5,Banskobystrický Kraj,BC,Majer,974 01,48.7351,19.1793
6,Banskobystrický Kraj,BC,Kostiviarska,974 01,48.7572,19.1425
7,Banskobystrický Kraj,BC,Uľanka,974 01,48.7844,19.1124
8,Banskobystrický Kraj,BC,Bečov,974 01,48.6511,19.2414
9,Banskobystrický Kraj,BC,Sebedín,974 01,48.6338,19.2407
10,Banskobystrický Kraj,BC,Čačín,974 01,48.6668,19.255
11,Banskobystrický Kraj,BC,Špania Dolina,974 01,48.8075,19.1341
12,Banskobystrický Kraj,BC,Čerín,974 01,48.6607,19.2454
13,Banskobystrický Kraj,BC,Podlavice,974 01,48.742,19.1058
14,Banskobystrický Kraj,BC,Dolná Môlča,974 01,48.721,19.2229
15,Banskobystrický Kraj,BC,Riečka,974 01,48.7562,19.0768
16,Banskobystrický Kraj,BC,"Polkanová (č.d.1,2,3",974 01,48.7247,19.1846
17,Banskobystrický Kraj,BC,Kynceľová,974 01,48.7499,19.1857
18,Banskobystrický Kraj,BC,Skubín,974 01,48.7376,19.1045
19,Banskobystrický Kraj,BC,Senica,974 01,48.7498,19.1895
20,Banskobystrický Kraj,BC,Nemce,974 01,48.7622,19.1853
21,Banskobystrický Kraj,BC,Môlča,974 01,48.7247,19.1846
22,Banskobystrický Kraj,BC,Dolná Mičiná,974 01,48.6754,19.2223
23,Banskobystrický Kraj,BC,Sebedín - Bečov,974 01,48.7247,19.1846
24,Banskobystrický Kraj,BC,Horné Pršany,974 05,48.6996,19.0833
25,Banskobystrický Kraj,BC,Radvaň,974 05,48.7224,19.1344
26,Banskobystrický Kraj,BC,Kremnička,974 05,48.6967,19.1276
27,Banskobystrický Kraj,BC,Malachov,974 05,48.7103,19.0897
28,Banskobystrický Kraj,BC,Kráľová,974 05,48.7178,19.1336
29,Banskobystrický Kraj,BC,Iliaš,974 05,48.7005,19.1435
30,Banskobystrický Kraj,BC,Rakytovce,974 05,48.7079,19.1187
31,Banskobystrický Kraj,BC,Rudlová,974 11,48.7536,19.162
32,Banskobystrický Kraj,BC,Sásová,974 11,48.7546,19.157
33,Banskobystrický Kraj,BC,Staré Hory,976 02,48.8391,19.1148
34,Banskobystrický Kraj,BC,Jergaly,976 02,48.8391,19.1148
35,Banskobystrický Kraj,BC,Dolný Jelenec,976 02,48.8391,19.1148
36,Banskobystrický Kraj,BC,Horný Jelenec,976 02,48.8391,19.1148
37,Banskobystrický Kraj,BC,Valentová,976 02,48.8391,19.1148
38,Banskobystrický Kraj,BC,Turecká,976 02,48.8391,19.1148
39,Banskobystrický Kraj,BC,Motyčky,976 02,48.8391,19.1148
40,Banskobystrický Kraj,BC,Štubne,976 02,48.8391,19.1148
41,Banskobystrický Kraj,BC,Polkanová (ostat.č.),976 02,48.8391,19.1148
42,Banskobystrický Kraj,BC,Harmanec,976 03,48.8218,19.0333
43,Banskobystrický Kraj,BC,Dolný Harmanec,976 03,48.8218,19.0333
44,Banskobystrický Kraj,BC,Baláže,976 11,48.814,19.1957
45,Banskobystrický Kraj,BC,Selce,976 11,48.7626,19.203
46,Banskobystrický Kraj,BC,Priechod,976 11,48.7831,19.2354
47,Banskobystrický Kraj,BC,Podkonice,976 13,48.7999,19.2575
48,Banskobystrický Kraj,BC,Slovenská Ľupča,976 13,48.7653,19.2755
49,Banskobystrický Kraj,BC,Moštenica,976 13,48.8084,19.2905
50,Banskobystrický Kraj,BC,Hronsek,976 31,48.6525,19.1568
51,Banskobystrický Kraj,BC,Vlkanová,976 31,48.6713,19.1461
52,Banskobystrický Kraj,BC,Badín,976 32,48.6638,19.1232
53,Banskobystrický Kraj,BC,Dúbravica,976 33,48.6796,19.2729
54,Banskobystrický Kraj,BC,Poniky,976 33,48.7124,19.2927
55,Banskobystrický Kraj,BC,Ponická Huta,976 33,48.6911,19.3034
56,Banskobystrický Kraj,BC,Ponická Lehôtka,976 33,48.6919,19.2829
57,Banskobystrický Kraj,BC,Oravce,976 33,48.6846,19.2627
58,Banskobystrický Kraj,BC,Tajov,976 34,48.7457,19.0703
59,Banskobystrický Kraj,BC,Králiky,976 34,48.7348,19.0371
60,Banskobystrický Kraj,BC,Kordíky,976 34,48.7718,19.022
61,Banskobystrický Kraj,BC,Jabriková,976 34,48.7457,19.0653
62,Banskobystrický Kraj,BC,"Riečka, ulica Nevoľné",976 34,48.7495,19.0487
63,Banskobystrický Kraj,BC,Hrochoť,976 37,48.6557,19.3128
64,Banskobystrický Kraj,BC,Donovaly,976 39,48.7007,19.1721
65,Banskobystrický Kraj,BC,Strelníky,976 55,48.7229,19.3922
66,Banskobystrický Kraj,BC,Ľubietová,976 55,48.7453,19.361
67,Banskobystrický Kraj,BC,Povrazník,976 55,48.7161,19.3644
68,Banskobystrický Kraj,BC,Lučatín,976 61,48.7828,19.32
69,Banskobystrický Kraj,BC,Hiadeľ,976 61,48.8105,19.3156
70,Banskobystrický Kraj,BC,Brusno,976 62,48.7924,19.3822
71,Banskobystrický Kraj,BC,Brusno - kúpele,976 62,48.796,19.3841
72,Banskobystrický Kraj,BC,Ondrej nad Hronom,976 62,48.7996,19.3861
73,Banskobystrický Kraj,BC,Pohronský Bukovec,976 62,48.796,19.3841
74,Banskobystrický Kraj,BC,Štiavnička,976 81,48.8042,19.5511
75,Banskobystrický Kraj,BC,Medzibrod,976 96,48.7943,19.3537
76,Banskobystrický Kraj,BC,Banská Belá,966 15,48.4747,18.9337
77,Banskobystrický Kraj,BC,Kozelník,966 15,48.5119,18.9974
78,Banskobystrický Kraj,BC,Počúvadlo,969 01,48.366,18.8328
79,Banskobystrický Kraj,BC,Klastava,969 01,48.3252,18.8701
80,Banskobystrický Kraj,BC,Sitnianska,969 01,48.4362,18.8974
81,Banskobystrický Kraj,BC,Dekýš,969 01,48.4,18.7667
82,Banskobystrický Kraj,BC,Banky,969 01,48.4814,18.858
83,Banskobystrický Kraj,BC,Banský Studenec,969 01,48.4489,18.9669
84,Banskobystrický Kraj,BC,Ilija,969 01,48.4192,18.899
85,Banskobystrický Kraj,BC,Beluj,969 01,48.3501,18.8962
86,Banskobystrický Kraj,BC,Štefultov,969 01,48.4391,18.8965
87,Banskobystrický Kraj,BC,Baďan,969 01,48.4078,18.8673
88,Banskobystrický Kraj,BC,Vysoká,969 01,48.412,18.7895
89,Banskobystrický Kraj,BC,Rychňava,969 01,48.4078,18.8673
90,Banskobystrický Kraj,BC,Kysihýbel,969 01,48.4078,18.8673
91,Banskobystrický Kraj,BC,Počúvadl.Jazero,969 01,48.4078,18.8673
92,Banskobystrický Kraj,BC,Svätý Anton,969 72,48.4192,18.9401
93,Banskobystrický Kraj,BC,Prenčov,969 73,48.3582,18.9247
94,Banskobystrický Kraj,BC,Štiavnické Bane,969 81,48.4394,18.8555
95,Banskobystrický Kraj,BC,Močiar,969 82,48.5419,18.9464
96,Banskobystrický Kraj,BC,Podhorie,969 82,48.5202,18.9327
97,Banskobystrický Kraj,BC,Teplá,969 82,48.4986,18.9191
98,Banskobystrický Kraj,BC,Žakýl,969 82,48.5202,18.9327
99,Banskobystrický Kraj,BC,Mýto pod Ďumbierom,976 44,48.7871,19.5587
100,Banskobystrický Kraj,BC,Osrblie,976 45,48.7561,19.5247
101,Banskobystrický Kraj,BC,Hronec,976 45,48.7976,19.5805
102,Banskobystrický Kraj,BC,Valaská,976 46,48.8076,19.571
103,Banskobystrický Kraj,BC,Bruchačka,976 51,48.7186,19.625
104,Banskobystrický Kraj,BC,Vydrovo,976 52,48.741,19.6546
105,Banskobystrický Kraj,BC,Komov,976 52,48.7419,19.6796
106,Banskobystrický Kraj,BC,Jánošovka,976 52,48.7429,19.6712
