,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,20000,Detská fakultná nemocnica,,Košice,Košice,040 01,,,,,,,48.7363959,21.2513748
1,20001,Detská fakultná nemocnica Košice,,Košice,Košice,040 11,,+421552354101,,,Yes,,48.7216422,21.2391504
2,20002,Detská fakultná nemocnica s poliklinikou Banská Bystrica,Námestie Ludvíka Svobodu 4,Banská Bystrica,Banská Bystrica,974 01,,+421 48 472 65 11,,,Yes,,48.7430887,19.1188485
3,20003,"Diagnostické, preventívne a výskumné centrum VÚSCH",Ondavská 8,Košice,Košice,040 11,,,,,No,,48.7214918,21.2411747
4,20004,Dolnooravská nemocnica s poliklinikou MUDr. L. N. Jégého Dolný Kubín,Nemocničná 1944/10,Dolný Kubín,Dolný Kubín,026 01,,,,,,,49.2152912,19.3011584
5,20005,Fakultná nemocnica Nitra,Špitálska 6,Nitra,Nitra,949 01,,,,,,,48.2991474,18.0856026
6,20006,Fakultná nemocnica Trenčín,,Trenčín,Trenčín,911 01,,,,,Yes,,48.8838722,18.0272033
7,20007,Fakultná nemocnica Trnava,Andreja Žarnova 11,Trnava,Trnava,917 02,,,,,,,48.3699855,17.588124
8,20008,Fakultná nemocnica s poliklinikou F.D. Roosevelta,Námestie Ludvíka Svobodu 1,Banská Bystrica,Banská Bystrica,974 01,,,,,Yes,,48.7452816,19.1138999
9,20009,Fakultná nemocnica s poliklinikou J. A. Reimana Prešov,Jána Hollého 14,Prešov,Prešov,080 01,,,,,,,48.998577,21.2510251
10,20010,Fakultná nemocnica s poliklinikou Nové Zámky,Slovenská 11A,Nové Zámky,Nové Zámky,940 02,,,,,,,47.9932743,18.1497035
11,20011,"Fakultná nemocnica s poliklinikou Skalica, a. s.",,Skalica,Skalica,909 01,,,,,,,48.8422693,17.2281031
12,20012,Fakultná nemocnica s poliklinikou Žilina,Vojtecha Spanyola 43,Žilina,Žilina,010 01,,,,,Yes,,49.2184185,18.7449224
13,20013,Geriatrické centrum sv. Lukáša,Strojárenská 13,Košice,Košice,040 01,,,,,,,48.7272892,21.2497062
